=== 对照表：无法翻译的动词及其在提示工程中的应用 ===

语言 | 无法翻译的动词 | 大致翻译 | 上下文用法 | 缺乏直接对等词的原因 | 在提示工程中的应用
--- | --- | --- | --- | --- | ---
日语 | 頑張る (ganbaru) | 坚持不懈地努力 | 即使面临困难也持续努力 | 将努力与坚忍结合为一词 | 设计强调奉献与韧性的提示词
德语 | Schadenfreude | 幸灾乐祸 | 对他人的不幸感到高兴 | 无法用一个动词表达这种复杂情感 | 探索微妙人类情感的提示词生成
葡萄牙语 | Saudades | 深切怀念 | 强烈而忧伤的怀旧之情 | 混合乡愁与渴望，缺乏对应动词 | 唤起主观而深刻的情感提示词
俄语 | Тоска (toska) | 存在性痛苦 | 无明显原因的忧郁状态 | 缺乏直接对应的动词表达 | 用于探索抽象情感状态的提示词
芬兰语 | Sisu | 毅力与勇气 | 展现面对逆境的勇气与坚韧 | 缺乏同时表达毅力与韧性的动词 | 鼓励坚韧与强大精神的提示词
西班牙语 | Estrenar | 第一次使用 | 初次使用物品或服饰 | 无对应表达“初次使用”的动词 | 与首次体验相关的提示词生成
法语 | Dépayser | 异地感 | 在新环境中感到迷失或不适 | 无法准确传达文化位移感的动词 | 探索适应与文化转变的提示词
中文（普通话） | 吃苦 (chī kǔ) | 忍受艰辛 | 经历并克服困难 | “吃”与“苦”合成为动词在其他语言中不存在 | 强调耐力与牺牲的提示词设计
阿拉伯语 | يعني (ya‘ni) | 表示…（语气填充词） | 用于阐明或强调思考内容 | 作为话语功能词无准确对等 | 提升生成语言的流畅性与一致性
印地语 | जुगाड़ (jugaad) | 权宜之计 | 快速且具有创造性地找到解决方案 | 缺乏表达此能力的动词 | 设计鼓励创造力和适应性的提示词
ピダハン語（アマゾン） | -xáagahá（証拠接尾辞） | 「自分の目で見た」 | 話者が目撃者であることを示す | 日本語や英語に証拠接尾辞がない | 情報の直接性や推論・伝聞を明確にするAI
トゥユカ語（アマゾン） | 多様な証拠接尾辞 | 「聞いた」「伝聞」「推論」 | 情報源に応じて動詞に接尾辞を付加 | 我々の言語に形態的対応がない | 回答に確信度や情報源を含めるAI
ボロロ語（ブラジル） | -dö / -de（使役接尾辞） | 「誰かにXをさせる」 | 使役動作を連鎖的に表現 | 多重使役を表す動詞がない | 指示を階層的に分解・連結するAI
ウビフ語（コーカサス） | 二重使役接頭辞 | 「X（単/複）がYをするようにさせる」 | 影響を受ける人数によって区別 | 動詞で数を区別しない | 主体数に応じて自動調整するAI
ナバホ語 | 物体の形状による動詞分類 | 「（細長い物を）渡す」vs「（塊を）渡す」 | 物理的属性に応じて動詞が変化 | 日本語や英語は動詞に属性を組み込まない | 物の特性に応じた動詞選択AI
バスク語 | アロクティブ形 | 「知らない（男性/女性に）」 | 聞き手の性別で動詞が変化 | この文法区別が存在しない | 相手に応じて返答を最適化するAI
タガログ語 | フォーカス接辞 | 主語/目的語/場所に焦点を当てる | 文中の焦点を接辞で示す | フォーカス体系がない | 望ましい焦点に合わせて回答を再構成するAI
オジブウェー語 | 直接/逆接活用 | 「彼(1)が彼(2)を見た」vs「彼(2)が彼(1)に見られた」 | 三人称間の階層を接尾辞で示す | 役割明確化に言い換えが必要 | 複雑な代名詞関係を自動判別するAI
アディゲ語（チェルケス） | 多重人称動詞 | 「私はあなたにそれを与えた」を一語で | 動詞に主語・目的語・間接目的語を含む | 明示的な代名詞が必要 | 簡潔かつ効率的な回答生成AI
日本語 | 敬語（Keigo）動詞 | 「言う（敬語）」vs「言う（普通）」 | 社会的序列で動詞が変化 | 敬意で動詞を変えない | 文脈や序列に応じて自動的に敬語調整
韓国語 | 눈치 (nunchi) | 社会的直感 | 言葉にされない周囲の気配を読む | 動詞で明示しない微妙な感覚 | 文脈的サインに応じて返答を調整するAI
イヌクティトゥット語 | Qarrtsiluni | 静かに待つ | 重要な出来事前の静寂 | 静寂と期待を組み合わせる動詞がない | 間や期待を重視するプロンプトに活用
インドネシア語 | Mencolek | 軽く触れて注意を引く | 肩や背中を軽く叩いて呼ぶ | 日本語や英語では説明が必要 | 文化的非言語行動も生成するAI
トルコ語 | Gönül almak | 感情的に仲直りする | 争い後に「心を得る」 | 感情・修復・詩的表現を統合 | 共感的なやりとりを模擬するプロンプト
ヤーガン語（チリ） | Mamihlapinatapai | 躊躇する二人の視線 | 言葉にできない感情的緊張を表現 | 曖昧なやりとりを動詞で表せない | 微妙な社会的インタラクションをモデル化
ガンダ語（ウガンダ） | Okuyamba | 求められずに助ける | 要請なしに援助する | 他言語では説明が必要 | 直接入力なしで積極的に支援するAI
グルジア語 | Shemomedjamo | 美味しくて食べ過ぎる | 満腹でも食べ続けてしまう | 対応動詞がない | 衝動的行動や快楽をモデル化するAI
マオリ語 | Whakamā | 恥・内気・社会的不安 | 否定的な社会感情の複雑な混合 | 複数語でしか表現できない | 社会的感情に敏感なトーン調整
イディッシュ語 | Trepverter | 遅れて思いつく機知 | 遅れて浮かぶ絶妙な返答 | 正確な訳語がなく説明が必要 | 遅延や代替案を生成するAI

#=== 组合表 ===
组合 | 目标 | 功能
--- | --- | ---
#=== 通用核心 === 层级性与法律明确性（通用核心）
严格的层级合同 | 🇯🇵 日本語 + 🇩🇪 德语 + 🇬🇧 英语 | 法律明确性 + 层级 + 结构
情感性与叙事性总结 | 🇪🇸 西班牙语 + 🇷🇺 俄语 + 🇦🇪 阿拉伯语 | 情感意图 + 深度 + 象征表达
带社会细微差别的礼貌请求 | 🇰🇷 韩语（눈치）+ 🇪🇸 西班牙语 + 🇯🇵 日语（敬语） | 共情 + 礼貌 + 尊敬
技术性连锁指令 | 🇧🇷 波罗罗语 + 🇹🇬 塔加洛语 + 🇦🇩 阿迪格语 | 因果关系 + 焦点 + 多主体
根据确信度调整回答 | 🇵🇷 皮达罕语 + 🇹🇾 图尤卡语 + 🇨🇦 奥吉布韦语 | 直接证据 + 推理来源 + 角色明确
精神与神秘提示 | 🇨🇦 伊努克提图特语（Qarrtsiluni）+ 🇨🇱 雅甘语 + 🇳🇿 毛利语 | 静默 + 情感紧张 + 社会焦虑
紧急创造力 | 🇮🇳 印地语（Jugaad）+ 🇬🇪 格鲁吉亚语 + 🇹🇷 土耳其语 | 即兴 + 快感 + 情感修复
正式外交谈判 | 🇫🇷 法语 + 🇩🇪 德语 + 🇮🇹 意大利语 | 战略性礼貌 + 制度精确 + 说服力
实用明晰的技术手册 | 🇳🇱 荷兰语 + 🇩🇰 丹麦语 + 🇬🇧 英语 | 功能结构 + 简洁语言 + 普遍明晰
内省存在的叙事 | 🇸🇮 斯洛文尼亚语 + 🇭🇺 匈牙利语 + 🇫🇮 芬兰语 | 个人反思 + 语法深度 + 诗意极简
伦理重的法律通知 | 🇸🇪 瑞典语 + 🇵🇱 波兰语 + 🇪🇸 西班牙语 | 公正性 + 严格形式 + 情感重量
社区导向信息 | 🇮🇪 爱尔兰语 + 🇪🇪 爱沙尼亚语 + 🇵🇹 葡萄牙语 | 口头传统 + 文化认同 + 温暖叙述

#=== 地中海区域 === 音韵与美学表达（地中海·特别）
西班牙语 + 意大利语 + 希腊语 | 艺术灵感 | 激情表达 + 音乐语言 + 哲学韵味
土耳其语 + 马耳他语 + 阿拉伯语（埃及） | 传统商业交易与谈判 | 亲切 + 实用主义 + 戏剧对话
法语 + 意大利语 + 阿拉伯语（摩洛哥） | 时尚设计与美学 | 精致感觉 + 温暖节奏 + 异国情调
西班牙语 + 希腊语 + 法语 | 神话象征叙事 | 情感戏剧 + 祖先神话 + 文学结构
克罗地亚语 + 希腊语 + 意大利语 | 文化遗产与历史 | 自豪 + 口头传承 + 细节描写
阿拉伯语（黎巴嫩）+ 意大利语 + 西班牙语 | 人际关系与爱情表达 | 情感细腻 + 浪漫表达 + 亲密

#=== 北欧区域 === 文化与生态韧性（非洲·安第斯·北极）
冰岛语 + 格陵兰语（伊努克提图特）+ 挪威语 | 极地自然联系 | 情感韧性 + 静思 + 明晰结构
苏格兰盖尔语 + 冰岛语 + 丹麦语 | 庄严祖先故事 | 口头神秘 + 诗意严肃 + 北欧精密
英语 + 法罗语 + 萨米语 | 北极跨文化交流 | 实用明晰 + 岛屿身份 + 精神自然观
荷兰语 + 英语 + 苏格兰盖尔语 | 海洋贸易与哲学实用主义 | 商业严谨 + 常识 + 反思口头
伊努克提图特语 + 萨米语 + 俄语（雅库特） | 生存、气候与社区 | 自然编码 + 环境和谐 + 冰雪合作

#=== 环太平洋与太平洋群岛 === 精神性与情感沉静（太平洋群岛）
日语 + 塔加洛语 + 夏威夷语 | 仪式性与敬语交流 | 层级尊敬 + 叙事焦点 + 精神和谐
毛利语 + 萨摩亚语 + 印度尼西亚语 | 部落身份与韧性 | 社区 + 口头舞蹈 + 适应力
塔加洛语 + 查莫罗语 + 拉帕努伊语 | 神话海洋故事 | 象征口述 + 海洋遗产 + 宇宙观
日语 + 韩语 + 汤加语 | 群体纪律与社会伦理 | 尊敬层级 + 社区感受 + 仪式义务
印度尼西亚语 + 爪哇语 + 塔加洛语 | 日常实践与热带实用主义 | 功能组织 + 合成主义 + 即时行动
夏威夷语 + 毛利语 + 日语 | 祖先与土地精神联系 | 阿罗哈精神 + 部落记忆 + 正式敬意

#=== 非洲与亚洲战略区 === 文化与生态韧性（非洲·安第斯·北极）
沃洛夫语 + 约鲁巴语 + 伊博语 | 连续口头传统与智慧 | 语言链 + 谚语 + 文化逻辑展开
阿姆哈拉语 + 奥罗莫语 + 索马里语 | 信息源与隐含话语结构追踪 | 证据性 + 动词词干 + 间接口头引用
科萨语 + 祖鲁语 + 科伊人语（点击音） | 语音反应与即时情感表达 | 点击音 + 丰富音调 + 自发调节
印地语 + 泰米尔语 + 梵语 | 抽象概念精细构建 | 结构句法 + 诗意隐喻 + 逻辑思维
缅甸语 + 泰语 + 老挝语 | 含蓄的社会交流 | 情态助词 + 语境敬意 + 简洁表达
藏语 + 蒙古语 + 哈萨克语 | 层级结构与精神追踪 | 证据性 + 循环叙事 + 伦理重量
克丘亚语 + 纳瓦特尔语 + 马普杜恩贡语 | 生态表达与集体责任 | 地形描写 + 自然尊重 + 社区观

