
=== 比較表：訳せない動詞とプロンプトエンジニアリングへの応用 ===

言語 | 訳せない動詞 | おおよその訳 | 文脈での使い方 | 直接的な対応語がない理由 | プロンプトエンジニアリングへの応用
--- | --- | --- | --- | --- | ---
日本語 | 頑張る (ganbaru) | 粘り強く努力する | 困難にもかかわらず努力し続ける | 努力と忍耐を一語で表現 | 献身とレジリエンスを強調するプロンプト設計
ドイツ語 | Schadenfreude | 他人の不幸を喜ぶ | 他人の不運に喜びを感じる | この複雑な感情を表す単一の動詞がない | 微妙な人間感情を探るプロンプト作成
ポルトガル語 | Saudades | 深い郷愁 | 強く切ない懐かしさを感じる | 郷愁と願望が混ざるが対応動詞がない | 主観的・深い感情を喚起するプロンプト
ロシア語 | Тоска (toska) | 存在的な苦悩 | 明確な理由のない憂鬱状態 | 直接的な動詞が存在しない | 抽象的な感情状態を探るプロンプト
フィンランド語 | Sisu | 根性・勇気 | 逆境に立ち向かう勇気と忍耐を示す | 根性と粘り強さを一語で表す動詞がない | レジリエンスと強さを促すプロンプト
スペイン語 | Estrenar | 初めて使う | 物や服を初めて使う | この行為を表す動詞がない | 初体験に関するプロンプト作成
フランス語 | Dépayser | 異国感を与える | 新しい場所での戸惑いを感じる | 文化的な感覚を伝える動詞がない | 適応や文化変化を探るプロンプト
中国語（標準語） | 吃苦 (chī kǔ) | 苦労を耐える | 困難を経験し乗り越える | 「食べる」と「苦しむ」を組み合わせた動詞がない | 耐久・犠牲を強調するプロンプト
アラビア語 | يعني (ya‘ni) | 意味する（フィラー） | 考えや強調を明確にする際に使う | 発話機能として正確な対応語がない | 生成言語の流暢さ・一貫性向上
ヒンディー語 | जुगाड़ (jugaad) | 即席の解決策 | 創造的かつ迅速な解決を見つける | この能力を表す動詞がない | 創造性と適応力を促すプロンプト
ピダハン語（アマゾン） | -xáagahá（証拠接尾辞） | 「自分の目で見た」 | 話者が目撃者であることを示す | 日本語や英語に証拠接尾辞がない | 情報の直接性や推論・伝聞を明確にするAI
トゥユカ語（アマゾン） | 多様な証拠接尾辞 | 「聞いた」「伝聞」「推論」 | 情報源に応じて動詞に接尾辞を付加 | 我々の言語に形態的対応がない | 回答に確信度や情報源を含めるAI
ボロロ語（ブラジル） | -dö / -de（使役接尾辞） | 「誰かにXをさせる」 | 使役動作を連鎖的に表現 | 多重使役を表す動詞がない | 指示を階層的に分解・連結するAI
ウビフ語（コーカサス） | 二重使役接頭辞 | 「X（単/複）がYをするようにさせる」 | 影響を受ける人数によって区別 | 動詞で数を区別しない | 主体数に応じて自動調整するAI
ナバホ語 | 物体の形状による動詞分類 | 「（細長い物を）渡す」vs「（塊を）渡す」 | 物理的属性に応じて動詞が変化 | 日本語や英語は動詞に属性を組み込まない | 物の特性に応じた動詞選択AI
バスク語 | アロクティブ形 | 「知らない（男性/女性に）」 | 聞き手の性別で動詞が変化 | この文法区別が存在しない | 相手に応じて返答を最適化するAI
タガログ語 | フォーカス接辞 | 主語/目的語/場所に焦点を当てる | 文中の焦点を接辞で示す | フォーカス体系がない | 望ましい焦点に合わせて回答を再構成するAI
オジブウェー語 | 直接/逆接活用 | 「彼(1)が彼(2)を見た」vs「彼(2)が彼(1)に見られた」 | 三人称間の階層を接尾辞で示す | 役割明確化に言い換えが必要 | 複雑な代名詞関係を自動判別するAI
アディゲ語（チェルケス） | 多重人称動詞 | 「私はあなたにそれを与えた」を一語で | 動詞に主語・目的語・間接目的語を含む | 明示的な代名詞が必要 | 簡潔かつ効率的な回答生成AI
日本語 | 敬語（Keigo）動詞 | 「言う（敬語）」vs「言う（普通）」 | 社会的序列で動詞が変化 | 敬意で動詞を変えない | 文脈や序列に応じて自動的に敬語調整
韓国語 | 눈치 (nunchi) | 社会的直感 | 言葉にされない周囲の気配を読む | 動詞で明示しない微妙な感覚 | 文脈的サインに応じて返答を調整するAI
イヌクティトゥット語 | Qarrtsiluni | 静かに待つ | 重要な出来事前の静寂 | 静寂と期待を組み合わせる動詞がない | 間や期待を重視するプロンプトに活用
インドネシア語 | Mencolek | 軽く触れて注意を引く | 肩や背中を軽く叩いて呼ぶ | 日本語や英語では説明が必要 | 文化的非言語行動も生成するAI
トルコ語 | Gönül almak | 感情的に仲直りする | 争い後に「心を得る」 | 感情・修復・詩的表現を統合 | 共感的なやりとりを模擬するプロンプト
ヤーガン語（チリ） | Mamihlapinatapai | 躊躇する二人の視線 | 言葉にできない感情的緊張を表現 | 曖昧なやりとりを動詞で表せない | 微妙な社会的インタラクションをモデル化
ガンダ語（ウガンダ） | Okuyamba | 求められずに助ける | 要請なしに援助する | 他言語では説明が必要 | 直接入力なしで積極的に支援するAI
グルジア語 | Shemomedjamo | 美味しくて食べ過ぎる | 満腹でも食べ続けてしまう | 対応動詞がない | 衝動的行動や快楽をモデル化するAI
マオリ語 | Whakamā | 恥・内気・社会的不安 | 否定的な社会感情の複雑な混合 | 複数語でしか表現できない | 社会的感情に敏感なトーン調整
イディッシュ語 | Trepverter | 遅れて思いつく機知 | 遅れて浮かぶ絶妙な返答 | 正確な訳語がなく説明が必要 | 遅延や代替案を生成するAI

#=== 組み合わせ表 ===
組み合わせ | 目的 | 機能
--- | --- | ---
#=== ユニバーサルコア === 階層性と法的明確さ（ユニバーサルコア）
厳格な階層的契約 | 🇯🇵 日本語 + 🇩🇪 ドイツ語 + 🇬🇧 英語 | 法的明確さ + 階層 + 構造
感情的・物語的要約 | 🇪🇸 スペイン語 + 🇷🇺 ロシア語 + 🇦🇪 アラビア語 | 感情意図 + 深み + 象徴表現
社会的ニュアンスを持つ丁寧な依頼 | 🇰🇷 韓国語（눈치）+ 🇪🇸 スペイン語 + 🇯🇵 日本語（敬語） | 共感 + 丁寧さ + 敬意
技術的な連鎖指示 | 🇧🇷 ボロロ語 + 🇹🇬 タガログ語 + 🇦🇩 アディゲ語 | 因果関係 + 焦点 + 多主体
確信度に応じた回答 | 🇵🇷 ピダハン語 + 🇹🇾 トゥユカ語 + 🇨🇦 オジブウェー語 | 直接証拠 + 推論源 + 役割明確化
精神的・神秘的プロンプト | 🇨🇦 イヌクティトゥット語（Qarrtsiluni）+ 🇨🇱 ヤーガン語 + 🇳🇿 マオリ語 | 静寂 + 感情的緊張 + 社会的不安
緊急の創造性 | 🇮🇳 ヒンディー語（Jugaad）+ 🇬🇪 グルジア語 + 🇹🇷 トルコ語 | 即興 + 快楽 + 感情的修復
フォーマルな外交交渉 | 🇫🇷 フランス語 + 🇩🇪 ドイツ語 + 🇮🇹 イタリア語 | 戦略的丁寧さ + 制度的正確さ + 説得力
実用的・明快な技術マニュアル | 🇳🇱 オランダ語 + 🇩🇰 デンマーク語 + 🇬🇧 英語 | 機能的構造 + 簡潔な言語 + 普遍的明快さ
内省的・存在的物語 | 🇸🇮 スロベニア語 + 🇭🇺 ハンガリー語 + 🇫🇮 フィンランド語 | 個人の省察 + 文法的深み + 詩的ミニマリズム
倫理的重みを持つ法的通知 | 🇸🇪 スウェーデン語 + 🇵🇱 ポーランド語 + 🇪🇸 スペイン語 | 公平性 + 厳格な形式 + 感情的重み
共同体志向のメッセージ | 🇮🇪 アイルランド語 + 🇪🇪 エストニア語 + 🇵🇹 ポルトガル語 | 口承伝統 + 文化的アイデンティティ + 温かい語り

#=== 地中海圏 === 音韻と美的表現（地中海・特別）
スペイン語 + イタリア語 + ギリシャ語 | 芸術的インスピレーション | 情熱的表現 + 音楽的言語 + 哲学的響き
トルコ語 + マルタ語 + アラビア語（エジプト） | 伝統的商取引や商談 | 親しみやすさ + 実用主義 + 劇的対話
フランス語 + イタリア語 + アラビア語（モロッコ） | ファッション・デザイン・美学 | 洗練された感覚 + 暖かいリズム + 異国情緒
スペイン語 + ギリシャ語 + フランス語 | 神話的・象徴的物語 | 感情的ドラマ + 祖先神話 + 文学的構造
クロアチア語 + ギリシャ語 + イタリア語 | 文化遺産・歴史 | 誇り + 口承伝承 + 詳細描写
アラビア語（レバノン）+ イタリア語 + スペイン語 | 人間関係・愛情表現 | 感情的繊細さ + ロマンチックな表現 + 親密さ

#=== 北欧圏 === 文化的・生態的レジリエンス（アフリカ・アンデス・北極）
アイスランド語 + グリーンランド語（イヌクティトゥット）+ ノルウェー語 | 極地自然とのつながり | 感情的レジリエンス + 静かな熟考 + 明快な構造
スコットランド・ゲール語 + アイスランド語 + デンマーク語 | 厳粛な祖先物語 | 口承神秘 + 詩的厳しさ + 北欧的精密さ
英語 + フェロー語 + サーミ語 | 北極間異文化コミュニケーション | 実用的明快さ + 島国アイデンティティ + 精神的自然観
オランダ語 + 英語 + スコットランド・ゲール語 | 海洋貿易・哲学的実用主義 | 商業的厳格さ + 常識 + 省察的口承
イヌクティトゥット語 + サーミ語 + ロシア語（ヤクート） | 生存・気候・共同体 | 自然符号化 + 環境調和 + 氷による協力

#=== 環太平洋・太平洋諸島 === 精神性と感情的静寂（太平洋諸島）
日本語 + タガログ語 + ハワイ語 | 儀式的・敬語的コミュニケーション | 階層的敬意 + 物語的焦点 + 精神的調和
マオリ語 + サモア語 + インドネシア語 | 部族的アイデンティティとレジリエンス | 共同体 + 口承舞踊 + 適応力
タガログ語 + チャモロ語 + ラパ・ヌイ語 | 神話的海洋物語 | 象徴的口承 + 海の遺産 + 宇宙観
日本語 + 韓国語 + トンガ語 | 集団規律・社会倫理 | 敬意ある階層 + 共同体的感受性 + 儀礼的義務
インドネシア語 + ジャワ語 + タガログ語 | 日常実践・熱帯的実用 | 機能的組織 + シンクレティズム + 即時行動
ハワイ語 + マオリ語 + 日本語 | 祖先・大地との精神的つながり | アロハ精神 + 部族の記憶 + 形式的敬意

#=== アフリカ・アジア戦略圏 === 文化的・生態的レジリエンス（アフリカ・アンデス・北極）
ウォロフ語 + ヨルバ語 + イボ語 | 連続的な口承と伝統的知恵 | 言語連鎖 + 諺 + 文化的論理展開
アムハラ語 + オロモ語 + ソマリ語 | 情報源と暗黙の談話構造の追跡 | 証拠性 + 動詞語幹 + 間接的口承参照
コサ語 + ズールー語 + コイサン語（クリック音） | 音声反応と即時感情表現 | クリック音 + 表情豊かな音調 + 自発的調整
ヒンディー語 + タミル語 + サンスクリット語 | 抽象概念の精緻構築 | 構造的統語 + 詩的隠喩 + 論理的思考
